care,health,medical,cost,research,physician,program,practice,nursing,services,information,hospital,management,quality,nurses,medicine,problem,education,decision,article
binding,protein,structure,residues,acid,peptide,affinity,amino,peptides,gel,molecular,chain,site,purified,interaction,bound,subunit,enzyme,kda,bond
gene,dna,sequence,genes,rna,protein,sequences,expression,promoter,cdna,region,mutant,transcription,mrna,plasmid,transcript,encoding,amino,coli,genome
treatment,patient,mg,dose,therapy,drug,trial,placebo,day,efficacy,randomized,effect,doses,week,regimen,administration,received,oral,controlled,daily
risk,age,year,women,children,ci,smoking,prevalence,mortality,population,confidence,factor,incidence,aged,cohort,older,hospital,rates,death,smoker
model,simulation,data,system,dynamic,field,algorithm,parameter,energy,measurement,image,calculation,equation,dimensional,beam,distribution,time,based,analysis,computer
kinase,protein,expression,receptor,cell,phosphorylation,signaling,activation,pathway,tyrosine,apoptosis,pkc,nf,regulation,factor,transcription,signal,hsp,kinases,domain
cancer,tumor,carcinoma,breast,patient,tumour,malignant,survival,prostate,metastases,metastatic,carcinomas,lymph,chemotherapy,radiotherapy,metastasis,stage,node,grade,colorectal
cell,cd,mice,lymphocytes,antigen,immune,marrow,lymphocyte,il,gamma,mhc,nk,class,ifn,spleen,peripheral,mononuclear,stem,tcr,hla
pressure,blood,flow,exercise,arterial,min,hypertension,heart,angiotensin,hypertensive,renin,reperfusion,ischemia,hg,mmhg,systolic,infusion,vascular,dog,effect
disorder,depression,social,anxiety,cognitive,children,psychiatric,symptom,behavior,schizophrenia,psychological,mental,adolescent,abuse,scale,scores,sexual,personality,alcohol,depressive
syndrome,patient,disease,diagnosis,clinical,lupus,manifestation,disorder,symptom,year,diseases,acute,severe,features,lesion,sle,systemic,rare,arthritis,chronic
cell,electron,microscopy,fiber,actin,muscle,staining,layer,ultrastructural,epithelium,epithelial,filament,membrane,granules,section,microscopic,junction,cytoplasm,distribution,stained
coronary,ventricular,artery,myocardial,heart,cardiac,left,patient,infarction,aortic,valve,atrial,bypass,mitral,echocardiography,stenosis,fibrillation,angioplasty,angina,lv
patient,gastric,surgery,complication,surgical,ulcer,bowel,laparoscopic,endoscopic,postoperative,abdominal,bladder,operation,reflux,catheter,esophageal,resection,obstruction,operative,duct
enzyme,activity,cytochrome,acid,dehydrogenase,oxidative,liver,glutathione,enzymes,metabolism,oxidation,mitochondrial,radical,oxidase,antioxidant,reductase,oxygen,superoxide,activities,gsh
task,movement,visual,stimulus,auditory,stimuli,motor,hearing,sleep,memory,stimulation,eeg,evoked,amplitude,word,frequency,threshold,hz,latency,speech
ca,channel,na,calcium,microm,current,membrane,atpase,transport,intracellular,camp,cyclic,voltage,atp,cai,cyclase,muscle,contraction,dependent,release
il,alpha,endothelial,tnf,beta,cell,expression,tgf,neutrophil,lp,growth,factor,inflammatory,interleukin,production,adhesion,necrosis,mmp,oxide,cytokines
cell,dna,tumor,lines,apoptosis,growth,human,culture,line,effect,vitro,mice,induced,cells,irradiation,radiation,cancer,hamster,proliferation,cultures
receptor,rat,antagonist,dopamine,agonist,effect,kg,ht,opioid,serotonin,nmda,gaba,morphine,mg,induced,da,cocaine,adrenoceptor,ethanol,adrenergic
liquid,chromatography,solution,ph,determination,concentration,column,detection,spectrometry,hplc,samples,separation,degrees,chromatographic,extraction,phase,assay,mass,urine,polymer
diet,cholesterol,fat,lipoprotein,dietary,intake,fed,vitamin,ldl,acid,food,fatty,lipid,milk,weight,hdl,body,feeding,rat,density
joint,knee,fractures,hip,flap,pain,spinal,tendon,fracture,patient,ligament,nerve,limb,reconstruction,spine,shoulder,anterior,femoral,fixation,muscle
virus,hiv,infection,antibodies,viral,antibody,hepatitis,infected,immunodeficiency,antigen,vaccine,igg,sera,hcv,viruses,anti,simplex,influenza,vaccination,elisa
pregnancy,fetal,infant,maternal,women,birth,sperm,pregnant,lh,estrogen,gestation,progesterone,estradiol,testosterone,uterine,gestational,pregnancies,neonatal,fsh,day
mutation,genetic,chromosome,gene,polymorphism,allele,chromosomes,alleles,genes,genotype,loci,locus,pcr,linkage,deletion,families,chromosomal,dna,genotypes,analysis
test,patient,correlation,measurement,predictive,sensitivity,values,score,specificity,level,positive,serum,index,analysis,clinical,accuracy,diagnostic,testing,reliability,screening
plant,soil,water,exposure,extract,concentration,seed,metal,chemical,cadmium,leaves,mercury,sediment,compound,organic,pcb,environmental,leaf,root,air
insulin,glucose,diabetic,diabetes,hormone,igf,gh,thyroid,pituitary,secretion,islet,cortisol,level,acth,adrenal,pancreatic,mellitus,plasma,leptin,tsh
strain,infection,antibiotic,isolates,bacteria,bacterial,pylori,aureus,coli,gram,antimicrobial,staphylococcus,organism,resistant,pathogen,pneumoniae,resistance,aeruginosa,salmonella,streptococcus
brain,neuron,neuronal,nervous,ad,alzheimer,cortex,spinal,cord,cn,astrocytes,glial,nerve,axon,amyloid,ngf,hippocampus,rat,hippocampal,nucleus
imaging,ct,resonance,tomography,mri,scan,magnetic,images,computed,mr,cerebral,lesion,pet,cyst,intracranial,ultrasound,angiography,spect,emission,weighted
renal,liver,transplantation,kidney,transplant,recipient,dialysis,patient,graft,hepatic,rejection,glomerular,cirrhosis,donor,creatinine,allograft,hemodialysis,excretion,chronic,failure
species,parasite,malaria,egg,larvae,parasites,bird,falciparum,plasmodium,cattle,tick,host,fish,worm,animal,insect,dog,infection,larval,leishmania
bone,implant,dental,teeth,mineral,tooth,cartilage,periodontal,bmd,caries,enamel,resorption,osteoporosis,material,cement,collagen,osteoblast,osteoclast,fluoride,resin
lung,pulmonary,asthma,airway,respiratory,ventilation,bronchial,allergen,allergic,nasal,breathing,ige,alveolar,asthmatic,inhaled,expiratory,cf,fev,inhalation,allergy
eyes,retinal,eye,skin,corneal,laser,len,ocular,visual,cataract,glaucoma,intraocular,acuity,wound,optic,lenses,retina,macular,burn,iop
platelet,iron,heparin,blood,thrombin,plasminogen,fibrinogen,transfusion,aggregation,coagulation,hemoglobin,red,pa,rbc,hb,plasma,thrombosis,anemia,pai,ferritin
injuries,injury,trauma,accident,driver,flight,traffic,car,altitude,victim,driving,road,military,injured,microgravity,seat,head,crashes,emergency,war
gd,sm,gm,gangliosides,ganglioside,spc,ias,ceramide,glycosphingolipid,gda,mpc,smg,tm,glycolipid,ges,pc,sphingolipid,epc,sph,gsl
hag,ppbl,iphp,jio,hachimi,pat,gan,hpo,hydrate,tbh,lymphocytosis,polymorph,ewes,entrant,vap,bradycardic,hav,avi,prison,idus
