care,health,medical,cost,research,physician,program,practice,nursing,services,hospital,information,management,nurses,medicine,education,quality,public,problem,decision
gene,sequence,dna,rna,protein,genes,sequences,expression,promoter,region,cdna,transcription,plasmid,mutant,mrna,amino,transcript,encoding,coli,domain
model,measurement,data,system,simulation,algorithm,parameter,field,analysis,image,equation,error,computer,based,dynamic,prediction,set,time,dimensional,distribution
risk,age,year,women,children,smoking,ci,prevalence,population,mortality,confidence,factor,aged,incidence,older,cohort,smoker,death,rates,health
cancer,tumor,carcinoma,breast,tumour,malignant,prostate,metastases,patient,carcinomas,survival,lymph,metastatic,metastasis,node,stage,squamous,colorectal,benign,grade
treatment,patient,therapy,trial,placebo,randomized,efficacy,dose,month,treated,week,drug,mg,controlled,regimen,day,chemotherapy,clinical,received,adverse
patient,surgery,surgical,complication,postoperative,operation,laparoscopic,endoscopic,abdominal,resection,operative,catheter,bladder,reflux,procedure,bleeding,obstruction,esophageal,underwent,drainage
structure,binding,residues,crystal,conformation,bond,nmr,interaction,reaction,conformational,site,complexes,ligand,structural,compound,complex,protein,atom,derivatives,spectra
protein,binding,membrane,gel,purified,kda,fraction,membranes,acid,molecular,electrophoresis,enzyme,affinity,chromatography,bound,sulfate,polyacrylamide,glycoprotein,dodecyl,purification
syndrome,disease,patient,clinical,diagnosis,disorder,lupus,manifestation,symptom,diseases,year,lesion,severe,features,rare,systemic,epilepsy,sle,sign,chronic
disorder,depression,social,anxiety,psychiatric,cognitive,scores,children,symptom,psychological,scale,schizophrenia,mental,behavior,adolescent,personality,abuse,depressive,rating,sexual
water,liquid,samples,concentration,solution,chromatography,determination,metal,column,detection,spectrometry,organic,soil,ph,gas,polymer,chemical,extraction,degrees,separation
kinase,protein,phosphorylation,activation,expression,signaling,pathway,cell,receptor,tyrosine,apoptosis,nf,pkc,hsp,kinases,cyclin,transcription,kappab,regulation,signal
coronary,ventricular,artery,myocardial,heart,cardiac,patient,left,infarction,valve,aortic,atrial,bypass,mitral,echocardiography,stenosis,angina,angioplasty,fibrillation,aneurysm
cell,cd,lymphocytes,antigen,mice,immune,il,lymphocyte,gamma,ifn,class,nk,mhc,tcr,dc,ctl,mononuclear,spleen,hla,responses
bone,joint,fractures,implant,fracture,hip,teeth,flap,knee,dental,ligament,femoral,tooth,mineral,tendon,spine,mandibular,bmd,cartilage,fixation
neuron,cell,electron,axon,nucleus,fiber,nerve,layer,microscopy,brain,neuronal,ganglion,ultrastructural,nuclei,glial,immunoreactivity,dorsal,projection,section,nervous
receptor,dopamine,antagonist,agonist,rat,ht,effect,nmda,brain,glutamate,gaba,serotonin,opioid,da,adrenoceptor,induced,neuron,adrenergic,dopaminergic,cholinergic
ca,channel,na,calcium,microm,current,atpase,atp,intracellular,voltage,transport,membrane,cyclic,cai,camp,cyclase,dependent,amp,release,concentration
